state,avg_crime_rate,total_population
MN,134.415778915862,5420380
DC,1216.801325,646449
MD,378.3289625625,5928814
DE,524.4246666,925749
MO,270.20932594791316,6044171
IL,242.7878834759707,12882135
MS,146.21102696178045,2991207
SD,99.3877982960606,844877
AK,289.3209568091304,718165
UT,145.26061103827584,2900872
HI,203.3638081,1404054
CA,416.0779525741381,38332521
CT,180.52094943125002,3596080
NC,269.3901540027001,9848060
ME,115.95718188249998,1328302
IA,168.58333933651522,3090416
NM,427.22242584687496,1871827
AR,334.7507271336001,2959373
AZ,352.6294427173333,6626624
LA,397.678397939375,4625470
NJ,270.73771662047625,8899339
WI,142.59951663125,5742713
MT,182.74077371125006,1015165
NY,212.16515759741932,19651127
FL,412.9387034,19552860
KY,98.71789588420837,4395295
WY,155.0011819913044,582658
MI,244.08254211542155,9895622
NV,434.9563523741176,2790136
ID,156.56105630431819,1612136
VT,119.25284441214285,626630
WA,205.44982844384617,6971406
ND,94.4770582311321,723393
AL,385.64569081925373,4833722
IN,139.11894647260868,6570902
TN,401.28834746263163,6495978
TX,255.00281577769704,26448193
GA,295.5525950400001,9992167
CO,181.8246266170312,5268367
OK,253.93899193428575,3850568
SC,581.1373843760871,4774839
OR,166.66516677891667,3930065
VA,173.34044922791043,8260405
RI,157.577721514,1051511
NH,160.15512436,1323459
NE,61.62639436516127,1868516
OH,138.13698686340902,11570808
PA,222.1417895414926,12773801
WV,252.77418984890903,1854304
MA,392.38127441428566,6692824
KS,237.48036883533334,2893957
