University_Country,avg_score,university_count
Turkey,44.48100000000001,20
Argentina,44.67285714285715,7
China,44.99257485029943,167
Croatia,44.769999999999996,2
Norway,46.330000000000005,12
Ireland,45.23499999999999,16
Hong Kong,46.294999999999995,12
Israel,52.654090909090904,22
Mexico,45.10249999999999,4
Lebanon,44.655,2
Slovenia,44.615,4
New Zealand,45.112500000000004,12
Poland,44.49722222222223,18
Portugal,45.095000000000006,14
Netherlands,47.958275862068966,29
Germany,46.41313043478264,115
Finland,45.53150000000001,20
India,44.713225806451604,31
Chile,44.7675,8
Puerto Rico,44.175,2
Lithuania,44.355000000000004,2
Spain,44.990864197530875,81
Thailand,45.11666666666667,6
United Arab Emirates,44.22,2
Brazil,44.781111111111095,36
United Kingdom,49.47465277777779,144
Slovak Republic,44.49,2
Russia,47.38111111111111,9
Singapore,50.16,5
Greece,44.854285714285716,14
Cyprus,44.21,2
Uganda,44.28,2
Canada,47.35930555555555,72
Japan,47.229559748427654,159
Colombia,44.432500000000005,4
Belgium,47.011,20
Denmark,47.774166666666666,12
Iran,44.27000000000001,16
Iceland,44.98,2
South Korea,46.198333333333316,72
Estonia,44.81,2
Saudi Arabia,44.511250000000004,8
Czech Republic,44.761,10
Bulgaria,44.334999999999994,2
Austria,45.13958333333333,24
Serbia,44.42,2
Hungary,44.60333333333333,12
Sweden,47.88999999999999,24
Malaysia,45.00833333333333,6
France,46.36733944954128,109
Taiwan,45.01239130434782,46
Italy,45.45020833333334,96
USA,51.83986038394412,573
Uruguay,44.254999999999995,2
Switzerland,51.208846153846146,26
Australia,45.8255172413793,58
Romania,44.13333333333333,3
Egypt,44.230000000000004,8
South Africa,46.399,10
